id,name,license_number,district,state,latitude,longitude,contact_number,storage_capacity,cold_chain_verified,is_active
1,Noida City Transfusion Blood Center #1,BB-UT-2026-001,Noida,Uttar Pradesh,28.4595,77.355,+91 28 21719583,500,True,True
2,Delhi National Rotary Blood Center #2,BB-DE-2026-002,Delhi,Delhi,28.53867,77.16398,+91 88 20445199,800,True,True
3,Kolkata Red Cross Regional Blood Center #3,BB-WE-2026-003,Kolkata,West Bengal,22.52787,88.37818,+91 31 27090293,1200,True,True
4,Mumbai Red Cross Regional Blood Center #4,BB-MA-2026-004,Mumbai,Maharashtra,19.14915,72.85156,+91 59 21622631,1200,True,True
5,Bengaluru National Rotary Blood Center #5,BB-KA-2026-005,Bengaluru,Karnataka,13.02074,77.63136,+91 26 26350753,500,True,True
6,Hyderabad Red Cross Regional Blood Center #6,BB-TE-2026-006,Hyderabad,Telangana,17.39738,78.51943,+91 95 23823498,1200,True,True
7,Mumbai Civil Hospital Blood Center #7,BB-MA-2026-007,Mumbai,Maharashtra,19.13464,72.85852,+91 92 26120868,800,True,True
8,Mumbai Red Cross Regional Blood Center #8,BB-MA-2026-008,Mumbai,Maharashtra,19.10323,72.90999,+91 88 22871230,800,True,True
9,Kolkata National Rotary Blood Center #9,BB-WE-2026-009,Kolkata,West Bengal,22.53579,88.43196,+91 39 25440561,500,True,True
10,Delhi Red Cross Regional Blood Center #10,BB-DE-2026-010,Delhi,Delhi,28.66271,77.19319,+91 38 29515702,1200,True,True
11,Chennai Civil Hospital Blood Center #11,BB-TA-2026-011,Chennai,Tamil Nadu,13.066,80.33703,+91 29 24443951,800,True,True
12,Bengaluru National Rotary Blood Center #12,BB-KA-2026-012,Bengaluru,Karnataka,13.01112,77.58315,+91 62 26073292,800,True,True
13,Gurugram Red Cross Regional Blood Center #13,BB-HA-2026-013,Gurugram,Haryana,28.46102,76.96115,+91 25 22564251,800,True,True
14,Kolkata National Rotary Blood Center #14,BB-WE-2026-014,Kolkata,West Bengal,22.58803,88.34546,+91 70 28877065,1200,True,True
15,Delhi National Rotary Blood Center #15,BB-DE-2026-015,Delhi,Delhi,28.64275,77.14733,+91 45 25707197,500,True,True
16,Gurugram Apex Charitable Blood Center #16,BB-HA-2026-016,Gurugram,Haryana,28.4521,77.09921,+91 75 22997281,500,True,True
