id,hospital_id,blood_group,component,consumption_date,units_consumed,was_emergency_surge,seasonal_dengue_index
1,19,A-,WHOLE_BLOOD,2026-08-18,23,True,1.0
2,44,AB+,PLATELET_CONCENTRATE,2025-12-26,25,True,1.0
3,38,B+,PACKED_RED_BLOOD_CELLS,2026-08-04,5,True,1.0
4,20,A-,PLATELET_CONCENTRATE,2025-12-03,12,True,1.0
5,47,AB-,PACKED_RED_BLOOD_CELLS,2026-09-06,25,True,1.0
6,49,O+,FRESH_FROZEN_PLASMA,2026-01-22,12,True,1.0
7,16,AB+,PACKED_RED_BLOOD_CELLS,2026-04-09,21,True,1.0
8,29,A+,PLATELET_CONCENTRATE,2026-05-22,9,True,1.0
9,5,O+,WHOLE_BLOOD,2026-02-25,24,False,1.0
10,44,A+,PLATELET_CONCENTRATE,2025-11-21,5,True,1.0
11,49,B+,FRESH_FROZEN_PLASMA,2026-03-27,5,True,1.0
12,30,O+,PLATELET_CONCENTRATE,2026-04-13,14,True,1.0
13,10,O-,FRESH_FROZEN_PLASMA,2026-06-24,11,True,1.0
14,48,AB-,WHOLE_BLOOD,2025-11-07,9,True,1.0
15,35,AB-,PLATELET_CONCENTRATE,2026-07-03,31,True,3.19
16,8,A-,PLATELET_CONCENTRATE,2025-12-04,5,True,1.0
17,3,B+,PACKED_RED_BLOOD_CELLS,2026-03-15,21,False,1.0
18,7,A+,WHOLE_BLOOD,2026-03-18,23,False,1.0
19,15,A-,PLATELET_CONCENTRATE,2026-03-21,5,False,1.0
20,42,B+,PACKED_RED_BLOOD_CELLS,2026-07-20,17,True,1.0
21,8,O+,PACKED_RED_BLOOD_CELLS,2026-06-04,19,True,1.0
22,30,O+,PLATELET_CONCENTRATE,2026-02-09,26,True,1.0
23,10,O-,FRESH_FROZEN_PLASMA,2026-08-14,29,True,1.0
24,45,A-,PACKED_RED_BLOOD_CELLS,2026-05-30,6,True,1.0
25,22,AB+,FRESH_FROZEN_PLASMA,2025-10-01,24,False,1.0
26,2,B-,PACKED_RED_BLOOD_CELLS,2025-10-02,21,True,1.0
27,11,O-,WHOLE_BLOOD,2026-01-10,7,False,1.0
28,25,AB+,PACKED_RED_BLOOD_CELLS,2026-07-02,19,True,1.0
29,21,AB-,WHOLE_BLOOD,2025-12-25,13,False,1.0
30,2,A+,PACKED_RED_BLOOD_CELLS,2025-12-17,18,True,1.0
31,2,AB+,FRESH_FROZEN_PLASMA,2026-02-11,21,True,1.0
32,38,AB+,WHOLE_BLOOD,2025-12-31,6,True,1.0
33,37,O-,WHOLE_BLOOD,2026-06-17,19,True,1.0
