id,public_donor_tag,blood_group,district,state,latitude,longitude,phone_masked,last_donation_date,is_eligible,total_donations,emergency_donor_opt_in,response_probability
1,DONOR-TA-00001,AB+,Chennai,Tamil Nadu,13.07648,80.2805,+91 ******6280,2026-01-14,True,1,False,0.97
2,DONOR-DE-00002,B+,Delhi,Delhi,28.66386,77.22623,+91 ******1659,2026-04-08,True,8,True,0.8
3,DONOR-KA-00003,A-,Bengaluru,Karnataka,12.93975,77.60313,+91 ******9056,2025-10-02,True,8,True,0.76
4,DONOR-UT-00004,O+,Noida,Uttar Pradesh,28.57127,77.37398,+91 ******5722,2025-12-13,True,14,True,0.66
5,DONOR-UT-00005,A+,Noida,Uttar Pradesh,28.51695,77.37333,+91 ******9431,2026-01-29,True,11,True,0.8
6,DONOR-DE-00006,A+,Delhi,Delhi,28.58266,77.19518,+91 ******8242,2025-12-11,True,4,False,0.69
7,DONOR-KA-00007,B-,Bengaluru,Karnataka,12.96541,77.61443,+91 ******1472,2026-06-22,False,12,False,0.83
8,DONOR-WE-00008,A-,Kolkata,West Bengal,22.53192,88.41313,+91 ******8560,2026-06-26,False,11,True,0.81
9,DONOR-KA-00009,B-,Bengaluru,Karnataka,12.97249,77.57194,+91 ******8736,2025-12-19,True,8,True,0.78
10,DONOR-HA-00010,AB+,Gurugram,Haryana,28.4959,77.00422,+91 ******6568,2026-01-23,True,14,False,0.89
11,DONOR-TA-00011,AB-,Chennai,Tamil Nadu,13.11923,80.26535,+91 ******6654,2025-12-19,True,9,True,0.77
12,DONOR-TE-00012,B-,Hyderabad,Telangana,17.42196,78.53478,+91 ******7274,2026-04-23,True,14,True,0.66
13,DONOR-TA-00013,O-,Chennai,Tamil Nadu,13.10322,80.30184,+91 ******3492,2026-02-07,True,1,False,0.97
14,DONOR-TE-00014,O-,Hyderabad,Telangana,17.42197,78.52412,+91 ******2633,2026-01-10,True,1,True,0.79
15,DONOR-HA-00015,O+,Gurugram,Haryana,28.41698,77.05475,+91 ******6546,2026-04-10,True,11,False,0.76
16,DONOR-WE-00016,A+,Kolkata,West Bengal,22.61801,88.37658,+91 ******9864,2025-12-17,True,10,False,0.86
17,DONOR-KA-00017,A-,Bengaluru,Karnataka,13.02134,77.61928,+91 ******2612,2026-01-13,True,8,False,0.75
18,DONOR-DE-00018,AB-,Delhi,Delhi,28.5685,77.23861,+91 ******6873,2026-03-26,True,7,False,0.83
