id,facility_id,blood_group,component,units_available,batch_number,status,collected_date,expiry_date,temperature_celsius,is_quarantined,source_tag
1,43,B+,PACKED_RED_BLOOD_CELLS,12,BATCH-43-BP-00001,CONFIRMED_AVAILABILITY,2026-08-12,2026-09-16,4.0,False,DIRECT_LAB_VERIFIED
2,4,O-,FRESH_FROZEN_PLASMA,21,BATCH-04-ON-00002,REPORTED_AVAILABILITY,2026-07-31,2027-07-31,-22.0,False,SYNTHETIC_ERAKTKOSH_COMPATIBLE_FEED
3,17,AB+,WHOLE_BLOOD,18,BATCH-17-ABP-00003,CONFIRMED_AVAILABILITY,2026-08-25,2026-09-29,4.0,True,DIRECT_LAB_VERIFIED
4,20,AB+,FRESH_FROZEN_PLASMA,8,BATCH-20-ABP-00004,CONFIRMED_AVAILABILITY,2026-07-25,2027-07-25,-22.0,False,DIRECT_LAB_VERIFIED
5,37,O-,PACKED_RED_BLOOD_CELLS,21,BATCH-37-ON-00005,REPORTED_AVAILABILITY,2026-09-06,2026-10-11,4.0,False,SYNTHETIC_ERAKTKOSH_COMPATIBLE_FEED
6,49,B-,WHOLE_BLOOD,18,BATCH-49-BN-00006,CONFIRMED_AVAILABILITY,2026-08-26,2026-09-30,4.0,False,DIRECT_LAB_VERIFIED
7,5,O+,FRESH_FROZEN_PLASMA,16,BATCH-05-OP-00007,CONFIRMED_AVAILABILITY,2026-07-11,2027-07-11,-22.0,False,DIRECT_LAB_VERIFIED
8,50,O+,WHOLE_BLOOD,16,BATCH-50-OP-00008,CONFIRMED_AVAILABILITY,2026-08-20,2026-09-24,4.0,False,DIRECT_LAB_VERIFIED
9,32,B-,FRESH_FROZEN_PLASMA,19,BATCH-32-BN-00009,REPORTED_AVAILABILITY,2026-08-09,2027-08-09,-22.0,False,SYNTHETIC_ERAKTKOSH_COMPATIBLE_FEED
10,45,A+,PLATELET_CONCENTRATE,3,BATCH-45-AP-00010,REPORTED_AVAILABILITY,2026-09-05,2026-09-10,22.0,True,SYNTHETIC_ERAKTKOSH_COMPATIBLE_FEED
11,48,O+,PACKED_RED_BLOOD_CELLS,24,BATCH-48-OP-00011,REPORTED_AVAILABILITY,2026-08-04,2026-09-08,4.0,False,SYNTHETIC_ERAKTKOSH_COMPATIBLE_FEED
12,11,A+,PACKED_RED_BLOOD_CELLS,30,BATCH-11-AP-00012,REPORTED_AVAILABILITY,2026-08-06,2026-09-10,4.0,False,SYNTHETIC_ERAKTKOSH_COMPATIBLE_FEED
13,25,O+,FRESH_FROZEN_PLASMA,21,BATCH-25-OP-00013,CONFIRMED_AVAILABILITY,2026-09-04,2027-09-04,-22.0,True,DIRECT_LAB_VERIFIED
14,19,B+,PLATELET_CONCENTRATE,3,BATCH-19-BP-00014,CONFIRMED_AVAILABILITY,2026-09-03,2026-09-08,22.0,False,DIRECT_LAB_VERIFIED
15,20,O+,FRESH_FROZEN_PLASMA,25,BATCH-20-OP-00015,REPORTED_AVAILABILITY,2026-08-07,2027-08-07,-22.0,False,SYNTHETIC_ERAKTKOSH_COMPATIBLE_FEED
16,26,A+,WHOLE_BLOOD,17,BATCH-26-AP-00016,CONFIRMED_AVAILABILITY,2026-08-22,2026-09-26,4.0,False,DIRECT_LAB_VERIFIED
17,35,B+,PACKED_RED_BLOOD_CELLS,12,BATCH-35-BP-00017,CONFIRMED_AVAILABILITY,2026-08-30,2026-10-04,4.0,True,DIRECT_LAB_VERIFIED
18,30,B+,PACKED_RED_BLOOD_CELLS,20,BATCH-30-BP-00018,CONFIRMED_AVAILABILITY,2026-08-21,2026-09-25,4.0,False,DIRECT_LAB_VERIFIED
19,35,A+,PACKED_RED_BLOOD_CELLS,24,BATCH-35-AP-00019,CONFIRMED_AVAILABILITY,2026-08-31,2026-10-05,4.0,False,DIRECT_LAB_VERIFIED
20,50,O+,FRESH_FROZEN_PLASMA,37,BATCH-50-OP-00020,CONFIRMED_AVAILABILITY,2026-07-28,2027-07-28,-22.0,False,DIRECT_LAB_VERIFIED
21,22,AB-,WHOLE_BLOOD,14,BATCH-22-ABN-00021,CONFIRMED_AVAILABILITY,2026-08-09,2026-09-13,4.0,False,DIRECT_LAB_VERIFIED
22,47,B-,WHOLE_BLOOD,17,BATCH-47-BN-00022,CONFIRMED_AVAILABILITY,2026-08-17,2026-09-21,4.0,False,DIRECT_LAB_VERIFIED
